time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
2011-04-18,643334.0,1117.0,496669.0,2872.0,2376.0
2011-04-19,1087604.0,1107430.0,339651.0,1991.0,1824.0
2011-04-20,1176889.0,1237.0,623093.0,3426.0,3275.0
2011-04-21,951020.0,958.0,309471.0,1653.0,1527.0
2011-04-22,1156480.0,1331.0,205417.0,1655.0,1639.0
2011-04-23,1273279.0,1064269.0,297882.0,1598.0,1414.0
2011-04-24,1232566.0,980043.0,2232293.0,11546.0,9399.0
2011-04-25,1390796.0,1970.0,376517.0,2316.0,2198.0
2011-04-26,1334939.0,1718543.0,545154.0,3219.0,2882.0
2011-04-27,1094114.0,323.0,289042.0,1954.0,1768.0
2011-04-28,1381814.0,1135.0,262262.0,1561.0,1432.0
2011-04-29,1255011.0,599.0,425663.0,2366.0,2108.0
2011-04-30,1376633.0,1113249.0,596736.0,3211.0,2948.0
2011-05-01,1319325.0,1068668.0,408864.0,2852.0,2665.0
2011-05-02,1046599.0,931.0,184231.0,1264.0,1205.0
2011-05-03,1150313.0,946743.0,193725.0,1076.0,1204.0
2011-05-04,,,,,
2011-05-05,,,,,
2011-05-06,555914.0,704.0,34664.0,0.0,118.0
2011-05-07,1096372.0,712.0,313473.0,1892.0,1754.0
2011-05-08,1263299.0,1864.0,457320.0,2404.0,2248.0
2011-05-09,1257863.0,1118110.0,591490.0,3266.0,2867.0
2011-05-10,1417709.0,1037234.0,261711.0,2082.0,1842.0
2011-05-11,1254881.0,923.0,151313.0,1210.0,1167.0
2011-05-12,951967.0,380.0,284602.0,1501.0,1415.0
2011-05-13,1241161.0,922.0,285506.0,2032.0,1961.0
2011-05-14,1307062.0,1584.0,571217.0,2918.0,2690.0
2011-05-15,1210406.0,1073681.0,671662.0,3816.0,3153.0
2011-05-16,1402285.0,2408668.0,610169.0,3790.0,307803.0
2011-05-17,1108084.0,1312.0,514466.0,3158.0,2672.0
2011-05-18,1272776.0,792741.0,385437.0,2372.0,2108.0
2011-05-19,1329198.0,1990.0,462386.0,2053.0,1923.0
2011-05-20,1153623.0,1372.0,241786.0,1565.0,1412.0
2011-05-21,1419194.0,417685.0,564972.0,2561.0,2981.0
2011-05-22,1689778.0,1320983.0,564044.0,2487.0,2072.0
2011-05-23,1598921.0,920740.0,547023.0,3072.0,2740.0
2011-05-24,900336.0,1136498.0,380062.0,2446.0,2254.0
