time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
4/18,643334,1117,496669,2872,2376
4/19,1087604,1107430,339651,1991,1824
4/20,1176889,1237,623093,3426,3275
4/21,951020,958,309471,1653,1527
4/22,1156480,1331,205417,1655,1639
4/23,1273279,1064269,297882,1598,1414
4/24,1232566,980043,2232293,11546,9399
4/25,1390796,1970,376517,2316,2198
4/26,1334939,1718543,545154,3219,2882
4/27,1094114,323,289042,1954,1768
4/28,1381814,1135,262262,1561,1432
4/29,1255011,599,425663,2366,2108
4/30,1376633,1113249,596736,3211,2948
5/1,1319325,1068668,408864,2852,2665
5/2,1046599,931,184231,1264,1205
5/3,1150313,946743,193725,1076,1204
5/4,,,,,
5/5,,,,,
5/6,555914,704,34664,0,118
5/7,1096372,712,313473,1892,1754
5/8,1263299,1864,457320,2404,2248
5/9,1257863,1118110,591490,3266,2867
5/10,1417709,1037234,261711,2082,1842
5/11,1254881,923,151313,1210,1167
5/12,951967,380,284602,1501,1415
5/13,1241161,922,285506,2032,1961
5/14,1307062,1584,571217,2918,2690
5/15,1210406,1073681,671662,3816,3153
5/16,1402285,2408668,610169,3790,307803
5/17,1108084,1312,514466,3158,2672
5/18,1272776,792741,385437,2372,2108
5/19,1329198,1990,462386,2053,1923
5/20,1153623,1372,241786,1565,1412
5/21,1419194,417685,564972,2561,2981
5/22,1689778,1320983,564044,2487,2072
5/23,1598921,920740,547023,3072,2740
5/24,900336,1136498,380062,2446,2254
