time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,62177.0,82.0,3822.0,1.0,2.0
1,17257.0,28.0,3859.0,0.0,0.0
2,49530.0,139710.0,3952.0,0.0,0.0
3,56348.0,713301.0,3675.0,0.0,0.0
4,58350.0,213977.0,3780.0,0.0,0.0
5,31415.0,19.0,3796.0,0.0,0.0
6,32387.0,5.0,3800.0,0.0,0.0
7,57737.0,39.0,3800.0,0.0,0.0
8,54043.0,17.0,3800.0,0.0,0.0
9,50269.0,24.0,3800.0,0.0,0.0
10,47701.0,63.0,92898.0,846.0,853.0
11,21343.0,32.0,4453.0,528.0,432.0
12,76080.0,83.0,4228.0,0.0,1.0
13,14334.0,2.0,50938.0,212.0,182.0
14,59851.0,104.0,27554.0,116.0,93.0
15,185513.0,651.0,3728.0,0.0,23.0
16,67119.0,38.0,27497.0,112.0,96.0
17,64952.0,58.0,27602.0,136.0,248.0
18,56749.0,48.0,3632.0,0.0,0.0
19,62811.0,68.0,3640.0,1.0,1.0
20,58994.0,69.0,3621.0,3.0,0.0
21,22011.0,125.0,108717.0,464.0,382.0
22,47360.0,59.0,8307.0,433.0,352.0
23,64994.0,66.0,3965.0,0.0,0.0
