time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
2011-04-18,1187733.0,552003.0,241182.0,234002.0,10603.0
2011-04-19,1643615.0,761.0,293437.0,717434.0,9441.0
2011-04-20,1433593.0,1125.0,282789.0,1148326.0,9268.0
2011-04-21,1539313.0,577703.0,205142.0,830081.0,151345.0
2011-04-22,1558231.0,1453.0,132420.0,242678.0,13663.0
2011-04-23,1449190.0,2508.0,327309.0,694967.0,12215.0
2011-04-24,1717567.0,570003.0,637942.0,436843.0,13346.0
2011-04-25,2458255.0,1219.0,362974.0,1458529.0,7475.0
2011-04-26,2060995.0,1898.0,525560.0,700981.0,163592.0
2011-04-27,1585244.0,608696.0,209368.0,475613.0,12420.0
2011-04-28,2035215.0,962.0,294922.0,274645.0,12963.0
2011-04-29,2017779.0,753.0,127907.0,313863.0,12876.0
2011-04-30,1967847.0,601.0,239012.0,467549.0,12695.0
2011-05-01,2128288.0,521765.0,928920.0,323209.0,13005.0
2011-05-02,218188.0,174.0,58039.0,106579.0,1392.0
2011-05-03,,,,,
2011-05-04,,,,,
2011-05-05,,,,,
2011-05-06,,,,,
2011-05-07,,,,,
2011-05-08,,,,,
2011-05-09,,,,,
2011-05-10,,,,,
2011-05-11,,,,,
2011-05-12,,,,,
2011-05-13,,,,,
2011-05-14,,,,,
2011-05-15,,,,,
2011-05-16,,,,,
2011-05-17,,,,,
2011-05-18,,,,,
2011-05-19,,,,,
2011-05-20,,,,,
2011-05-21,,,,,
2011-05-22,396477.0,1698.0,17479.0,32276.0,1492.0
