time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,152677.0,24.0,339979.0,124137.0,257.0
1,102589.0,4.0,42985.0,18751.0,408.0
2,101464.0,509096.0,25247.0,9942.0,482.0
3,102818.0,10853.0,4292.0,8210.0,396.0
4,114092.0,65.0,4390.0,8276.0,497.0
5,98733.0,78.0,4166.0,7859.0,426.0
6,85638.0,95.0,4366.0,8158.0,543.0
7,105710.0,77.0,4454.0,9443.0,521.0
8,81672.0,77.0,4359.0,8135.0,565.0
9,88702.0,68.0,4428.0,8166.0,571.0
10,89198.0,95.0,4345.0,8127.0,585.0
11,73609.0,132.0,4355.0,8046.0,514.0
12,63186.0,128.0,4258.0,7963.0,641.0
13,63379.0,65.0,3963.0,7549.0,830.0
14,56428.0,70.0,4126.0,7927.0,690.0
15,55906.0,33.0,4154.0,7956.0,579.0
16,57190.0,73.0,4164.0,7784.0,767.0
17,58447.0,205.0,62221.0,7776.0,718.0
18,173060.0,225.0,21607.0,8270.0,553.0
19,148761.0,88.0,4659.0,8492.0,202.0
20,68364.0,96.0,4217.0,8016.0,556.0
21,61971.0,48.0,4170.0,7973.0,639.0
22,58148.0,38.0,133665.0,8048.0,600.0
23,66546.0,32.0,230350.0,8205.0,465.0
