time_stamp,day,power_microwave
5,1,2005.0
6,1,4266.0
7,1,4220.0
8,1,4225.0
9,1,4216.0
10,1,4208.0
11,1,4234.0
12,1,4052.0
13,1,25661.0
14,1,4117.0
15,1,4166.0
16,1,34045.0
17,1,7017.0
18,1,15136.0
19,1,43073.0
20,1,43022.0
21,1,24790.0
22,1,4198.0
23,1,4531.0
0,2,15147.0
1,2,43001.0
2,2,47556.0
3,2,4171.0
4,2,4284.0
5,2,4730.0
6,2,4513.0
7,2,4246.0
8,2,4211.0
9,2,4206.0
10,2,4092.0
11,2,22308.0
12,2,4251.0
13,2,4395.0
14,2,4714.0
15,2,4265.0
16,2,35891.0
17,2,21680.0
18,2,4278.0
19,2,4318.0
20,2,38922.0
21,2,4702.0
22,2,3556.0
23,2,
0,3,2805.0
1,3,4369.0
2,3,4708.0
3,3,4321.0
4,3,4299.0
5,3,4279.0
6,3,4245.0
7,3,4198.0
8,3,4185.0
9,3,4175.0
10,3,4170.0
11,3,4159.0
12,3,4132.0
13,3,4216.0
14,3,4211.0
15,3,29999.0
16,3,47000.0
17,3,13595.0
18,3,41898.0
19,3,42001.0
20,3,32472.0
21,3,4469.0
22,3,4769.0
23,3,4114.0
0,4,4547.0
1,4,5046.0
2,4,4778.0
3,4,4455.0
4,4,4213.0
5,4,4193.0
6,4,4214.0
7,4,4285.0
8,4,4267.0
9,4,4229.0
10,4,4202.0
11,4,4143.0
12,4,4242.0
13,4,4211.0
14,4,4048.0
15,4,4198.0
16,4,4254.0
17,4,105827.0
18,4,12035.0
19,4,4515.0
20,4,4764.0
21,4,3192.0
22,4,
23,4,1284.0
0,5,4015.0
1,5,4081.0
2,5,4111.0
3,5,4152.0
4,5,4418.0
5,5,4249.0
6,5,4165.0
7,5,4163.0
8,5,4152.0
9,5,4163.0
10,5,4133.0
11,5,4182.0
12,5,4207.0
13,5,4412.0
14,5,4134.0
15,5,4178.0
16,5,4526.0
17,5,4370.0
18,5,33931.0
19,5,5562.0
20,5,4295.0
21,5,4329.0
22,5,4265.0
23,5,4227.0
0,6,4304.0
1,6,17709.0
2,6,4207.0
3,6,47781.0
4,6,4255.0
5,6,4280.0
6,6,4336.0
7,6,4310.0
8,6,4405.0
9,6,4406.0
10,6,4280.0
11,6,4164.0
12,6,4189.0
13,6,4155.0
14,6,11899.0
15,6,35820.0
16,6,35586.0
17,6,43068.0
18,6,43111.0
19,6,14847.0
20,6,4139.0
21,6,3973.0
22,6,4110.0
23,6,13975.0
0,7,295167.0
1,7,43053.0
2,7,43249.0
3,7,43737.0
4,7,43731.0
5,7,44019.0
6,7,10382.0
7,7,4321.0
8,7,4325.0
9,7,4315.0
10,7,4222.0
11,7,4153.0
12,7,27003.0
13,7,6814.0
14,7,21751.0
15,7,4248.0
16,7,4609.0
17,7,4123.0
18,7,4234.0
19,7,4142.0
20,7,4094.0
21,7,4118.0
22,7,4056.0
23,7,4076.0
0,8,24528.0
1,8,12340.0
2,8,36934.0
3,8,4389.0
4,8,4329.0
5,8,4328.0
6,8,4257.0
7,8,4334.0
8,8,4257.0
9,8,4173.0
10,8,4741.0
11,8,26767.0
12,8,5262.0
13,8,35622.0
14,8,4813.0
15,8,36938.0
16,8,36240.0
17,8,29655.0
18,8,4109.0
19,8,15719.0
20,8,4129.0
21,8,4432.0
22,8,11571.0
23,8,39107.0
0,9,41888.0
1,9,41963.0
2,9,58094.0
3,9,23467.0
4,9,4252.0
5,9,4293.0
6,9,4249.0
7,9,4278.0
8,9,4205.0
9,9,4234.0
10,9,4177.0
11,9,4142.0
12,9,4478.0
13,9,75094.0
14,9,4141.0
15,9,4183.0
16,9,4281.0
17,9,4430.0
18,9,4133.0
19,9,53382.0
20,9,67748.0
21,9,58561.0
22,9,10111.0
23,9,35776.0
0,10,4771.0
1,10,57970.0
2,10,4193.0
3,10,4233.0
4,10,4342.0
5,10,4381.0
6,10,4374.0
7,10,3938.0
8,10,4208.0
9,10,4185.0
10,10,4156.0
11,10,4157.0
12,10,4135.0
13,10,14460.0
14,10,4096.0
15,10,37339.0
16,10,4085.0
17,10,4057.0
18,10,4078.0
19,10,4091.0
20,10,4099.0
21,10,4234.0
22,10,4212.0
23,10,15574.0
0,11,65502.0
1,11,4176.0
2,11,4584.0
3,11,4609.0
4,11,4263.0
5,11,4197.0
6,11,4212.0
7,11,4174.0
8,11,4145.0
9,11,4135.0
10,11,4208.0
11,11,4098.0
12,11,4091.0
13,11,3903.0
14,11,12914.0
15,11,16355.0
16,11,3852.0
17,11,77291.0
18,11,4063.0
19,11,43659.0
20,11,4086.0
21,11,4091.0
22,11,4098.0
23,11,4216.0
0,12,4219.0
1,12,4174.0
2,12,4233.0
3,12,4251.0
4,12,4259.0
5,12,4244.0
6,12,4307.0
7,12,4383.0
8,12,4531.0
9,12,4245.0
10,12,4204.0
11,12,4036.0
12,12,4063.0
13,12,4091.0
14,12,4201.0
15,12,4181.0
16,12,4200.0
17,12,4153.0
18,12,30674.0
19,12,4397.0
20,12,4189.0
21,12,4140.0
22,12,4284.0
23,12,4248.0
0,13,50246.0
1,13,4209.0
2,13,4712.0
3,13,4216.0
4,13,4229.0
5,13,4174.0
6,13,4179.0
7,13,4291.0
8,13,4218.0
9,13,4263.0
10,13,4292.0
11,13,4188.0
12,13,4115.0
13,13,36105.0
14,13,4075.0
15,13,4068.0
16,13,15496.0
17,13,4117.0
18,13,34703.0
19,13,4217.0
20,13,11189.0
21,13,4551.0
22,13,4218.0
23,13,14941.0
0,14,339979.0
1,14,42985.0
2,14,25247.0
3,14,4292.0
4,14,4390.0
5,14,4166.0
6,14,4366.0
7,14,4454.0
8,14,4359.0
9,14,4428.0
10,14,4345.0
11,14,4355.0
12,14,4258.0
13,14,3963.0
14,14,4126.0
15,14,4154.0
16,14,4164.0
17,14,62221.0
18,14,21607.0
19,14,4659.0
20,14,4217.0
21,14,4170.0
22,14,133665.0
23,14,230350.0
0,15,48169.0
1,15,5252.0
2,15,4255.0
3,15,363.0
4,15,
5,15,
6,15,
7,15,
8,15,
9,15,
10,15,
11,15,
12,15,
13,15,
14,15,
15,15,
16,15,
17,15,
18,15,
19,15,
20,15,
21,15,
22,15,
23,15,
0,16,
1,16,
2,16,
3,16,
4,16,
5,16,
6,16,
7,16,
8,16,
9,16,
10,16,
11,16,
12,16,
13,16,
14,16,
15,16,
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
0,17,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
0,18,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
0,19,
1,19,
2,19,
3,19,
4,19,
5,19,
6,19,
7,19,
8,19,
9,19,
10,19,
11,19,
12,19,
13,19,
14,19,
15,19,
16,19,
17,19,
18,19,
19,19,
20,19,
21,19,
22,19,
23,19,
0,20,
1,20,
2,20,
3,20,
4,20,
5,20,
6,20,
7,20,
8,20,
9,20,
10,20,
11,20,
12,20,
13,20,
14,20,
15,20,
16,20,
17,20,
18,20,
19,20,
20,20,
21,20,
22,20,
23,20,
0,21,
1,21,
2,21,
3,21,
4,21,
5,21,
6,21,
7,21,
8,21,
9,21,
10,21,
11,21,
12,21,
13,21,
14,21,
15,21,
16,21,
17,21,
18,21,
19,21,
20,21,
21,21,
22,21,
23,21,
0,22,
1,22,
2,22,
3,22,
4,22,
5,22,
6,22,
7,22,
8,22,
9,22,
10,22,
11,22,
12,22,
13,22,
14,22,
15,22,
16,22,
17,22,
18,22,
19,22,
20,22,
21,22,
22,22,
23,22,
0,23,
1,23,
2,23,
3,23,
4,23,
5,23,
6,23,
7,23,
8,23,
9,23,
10,23,
11,23,
12,23,
13,23,
14,23,
15,23,
16,23,
17,23,
18,23,
19,23,
20,23,
21,23,
22,23,
23,23,
0,24,
1,24,
2,24,
3,24,
4,24,
5,24,
6,24,
7,24,
8,24,
9,24,
10,24,
11,24,
12,24,
13,24,
14,24,
15,24,
16,24,
17,24,
18,24,
19,24,
20,24,
21,24,
22,24,
23,24,
0,25,
1,25,
2,25,
3,25,
4,25,
5,25,
6,25,
7,25,
8,25,
9,25,
10,25,
11,25,
12,25,
13,25,
14,25,
15,25,
16,25,
17,25,
18,25,
19,25,
20,25,
21,25,
22,25,
23,25,
0,26,
1,26,
2,26,
3,26,
4,26,
5,26,
6,26,
7,26,
8,26,
9,26,
10,26,
11,26,
12,26,
13,26,
14,26,
15,26,
16,26,
17,26,
18,26,
19,26,
20,26,
21,26,
22,26,
23,26,
0,27,
1,27,
2,27,
3,27,
4,27,
5,27,
6,27,
7,27,
8,27,
9,27,
10,27,
11,27,
12,27,
13,27,
14,27,
15,27,
16,27,
17,27,
18,27,
19,27,
20,27,
21,27,
22,27,
23,27,
0,28,
1,28,
2,28,
3,28,
4,28,
5,28,
6,28,
7,28,
8,28,
9,28,
10,28,
11,28,
12,28,
13,28,
14,28,
15,28,
16,28,
17,28,
18,28,
19,28,
20,28,
21,28,
22,28,
23,28,
0,29,
1,29,
2,29,
3,29,
4,29,
5,29,
6,29,
7,29,
8,29,
9,29,
10,29,
11,29,
12,29,
13,29,
14,29,
15,29,
16,29,
17,29,
18,29,
19,29,
20,29,
21,29,
22,29,
23,29,
0,30,
1,30,
2,30,
3,30,
4,30,
5,30,
6,30,
7,30,
8,30,
9,30,
10,30,
11,30,
12,30,
13,30,
14,30,
15,30,
16,30,
17,30,
18,30,
19,30,
20,30,
21,30,
22,30,
23,30,
0,31,
1,31,
2,31,
3,31,
4,31,
5,31,
6,31,
7,31,
8,31,
9,31,
10,31,
11,31,
12,31,
13,31,
14,31,
15,31,
16,31,
17,31,
18,31,
19,31,
20,31,
21,31,
22,31,
23,31,
0,32,
1,32,
2,32,
3,32,
4,32,
5,32,
6,32,
7,32,
8,32,
9,32,
10,32,
11,32,
12,32,
13,32,
14,32,
15,32,
16,32,
17,32,
18,32,
19,32,
20,32,
21,32,
22,32,
23,32,
0,33,
1,33,
2,33,
3,33,
4,33,
5,33,
6,33,
7,33,
8,33,
9,33,
10,33,
11,33,
12,33,
13,33,
14,33,
15,33,
16,33,
17,33,
18,33,
19,33,
20,33,
21,33,
22,33,
23,33,
0,34,
1,34,
2,34,
3,34,
4,34,
5,34,
6,34,
7,34,
8,34,
9,34,
10,34,
11,34,
12,34,
13,34,
14,34,
15,34,
16,34,
17,34,
18,34,
19,34,
20,34,
21,34,
22,34,
23,34,
0,35,
1,35,
2,35,
3,35,
4,35,
5,35,
6,35,
7,35,
8,35,
9,35,
10,35,
11,35,
12,35,
13,35,
14,35,
15,35,
16,35,
17,35,
18,35,
19,35,197.0
20,35,4354.0
21,35,4374.0
22,35,4404.0
23,35,4150.0
