time_stamp,day,power_refrigerator
5,1,36910.0
6,1,70774.0
7,1,53228.0
8,1,54782.0
9,1,52705.0
10,1,56767.0
11,1,70342.0
12,1,68480.0
13,1,61832.0
14,1,59767.0
15,1,56299.0
16,1,56208.0
17,1,78887.0
18,1,78686.0
19,1,59465.0
20,1,59640.0
21,1,58271.0
22,1,76319.0
23,1,78371.0
0,2,68338.0
1,2,59003.0
2,2,64154.0
3,2,57749.0
4,2,68570.0
5,2,74299.0
6,2,72087.0
7,2,54688.0
8,2,54389.0
9,2,53202.0
10,2,51789.0
11,2,67035.0
12,2,93211.0
13,2,143276.0
14,2,93793.0
15,2,64796.0
16,2,70896.0
17,2,95706.0
18,2,75082.0
19,2,74303.0
20,2,76187.0
21,2,74378.0
22,2,36684.0
23,2,
0,3,53725.0
1,3,55416.0
2,3,54525.0
3,3,58096.0
4,3,72615.0
5,3,71649.0
6,3,59247.0
7,3,51511.0
8,3,51239.0
9,3,50380.0
10,3,50348.0
11,3,57164.0
12,3,68266.0
13,3,69257.0
14,3,63307.0
15,3,55356.0
16,3,55248.0
17,3,55506.0
18,3,65602.0
19,3,72309.0
20,3,72932.0
21,3,59765.0
22,3,55761.0
23,3,54369.0
0,4,54370.0
1,4,160252.0
2,4,127825.0
3,4,71368.0
4,4,60371.0
5,4,56941.0
6,4,58207.0
7,4,70831.0
8,4,66939.0
9,4,63163.0
10,4,49804.0
11,4,49266.0
12,4,49695.0
13,4,50483.0
14,4,68588.0
15,4,75729.0
16,4,73260.0
17,4,75380.0
18,4,58578.0
19,4,59988.0
20,4,56207.0
21,4,53984.0
22,4,
23,4,28084.0
0,5,52027.0
1,5,51850.0
2,5,52094.0
3,5,62409.0
4,5,74980.0
5,5,70078.0
6,5,52181.0
7,5,50216.0
8,5,49921.0
9,5,49570.0
10,5,48523.0
11,5,59124.0
12,5,61269.0
13,5,63518.0
14,5,54576.0
15,5,130816.0
16,5,119372.0
17,5,77926.0
18,5,79660.0
19,5,74361.0
20,5,56888.0
21,5,55699.0
22,5,57106.0
23,5,54067.0
0,6,64349.0
1,6,79759.0
2,6,62939.0
3,6,57867.0
4,6,52829.0
5,6,52154.0
6,6,51633.0
7,6,51025.0
8,6,66913.0
9,6,64683.0
10,6,58588.0
11,6,47353.0
12,6,48123.0
13,6,48508.0
14,6,54984.0
15,6,61991.0
16,6,69475.0
17,6,73243.0
18,6,74582.0
19,6,72495.0
20,6,63366.0
21,6,54681.0
22,6,59899.0
23,6,57751.0
0,7,53834.0
1,7,71344.0
2,7,73847.0
3,7,69968.0
4,7,53930.0
5,7,148400.0
6,7,112703.0
7,7,75047.0
8,7,72138.0
9,7,68545.0
10,7,55286.0
11,7,52122.0
12,7,55018.0
13,7,55045.0
14,7,71476.0
15,7,60986.0
16,7,83170.0
17,7,80839.0
18,7,80694.0
19,7,63724.0
20,7,62695.0
21,7,62068.0
22,7,60694.0
23,7,73994.0
0,8,99559.0
1,8,104552.0
2,8,151077.0
3,8,103185.0
4,8,88811.0
5,8,95172.0
6,8,81179.0
7,8,91774.0
8,8,93505.0
9,8,84802.0
10,8,91394.0
11,8,78134.0
12,8,180720.0
13,8,160438.0
14,8,95768.0
15,8,88882.0
16,8,86166.0
17,8,95158.0
18,8,78675.0
19,8,95651.0
20,8,77704.0
21,8,101312.0
22,8,105404.0
23,8,129233.0
0,9,90659.0
1,9,103652.0
2,9,87209.0
3,9,96648.0
4,9,76276.0
5,9,90702.0
6,9,79573.0
7,9,73367.0
8,9,76634.0
9,9,71348.0
10,9,76208.0
11,9,68298.0
12,9,76066.0
13,9,79475.0
14,9,84406.0
15,9,80513.0
16,9,157361.0
17,9,140744.0
18,9,95323.0
19,9,79213.0
20,9,70289.0
21,9,77104.0
22,9,68971.0
23,9,60956.0
0,10,55902.0
1,10,60449.0
2,10,66086.0
3,10,59235.0
4,10,66110.0
5,10,70497.0
6,10,69236.0
7,10,58030.0
8,10,52540.0
9,10,52019.0
10,10,51975.0
11,10,51516.0
12,10,57851.0
13,10,91702.0
14,10,59200.0
15,10,81806.0
16,10,57081.0
17,10,58109.0
18,10,91878.0
19,10,63129.0
20,10,64560.0
21,10,91980.0
22,10,85093.0
23,10,69260.0
0,11,90627.0
1,11,95527.0
2,11,160664.0
3,11,155717.0
4,11,79943.0
5,11,70819.0
6,11,67295.0
7,11,65158.0
8,11,64839.0
9,11,64770.0
10,11,79006.0
11,11,80107.0
12,11,80400.0
13,11,76061.0
14,11,85963.0
15,11,83453.0
16,11,81987.0
17,11,104374.0
18,11,69785.0
19,11,83536.0
20,11,85197.0
21,11,70769.0
22,11,69439.0
23,11,69779.0
0,12,83776.0
1,12,69961.0
2,12,87682.0
3,12,86302.0
4,12,84268.0
5,12,82618.0
6,12,108271.0
7,12,158223.0
8,12,123504.0
9,12,76780.0
10,12,73178.0
11,12,64634.0
12,12,71873.0
13,12,80495.0
14,12,81216.0
15,12,80371.0
16,12,78105.0
17,12,87700.0
18,12,79176.0
19,12,74303.0
20,12,71098.0
21,12,68966.0
22,12,65989.0
23,12,79290.0
0,13,95016.0
1,13,81912.0
2,13,81306.0
3,13,81100.0
4,13,72561.0
5,13,66638.0
6,13,63800.0
7,13,69804.0
8,13,64653.0
9,13,73808.0
10,13,78307.0
11,13,76753.0
12,13,71639.0
13,13,145366.0
14,13,109350.0
15,13,111067.0
16,13,76093.0
17,13,65486.0
18,13,64445.0
19,13,81981.0
20,13,82533.0
21,13,79770.0
22,13,79569.0
23,13,94890.0
0,14,152677.0
1,14,102589.0
2,14,101464.0
3,14,102818.0
4,14,114092.0
5,14,98733.0
6,14,85638.0
7,14,105710.0
8,14,81672.0
9,14,88702.0
10,14,89198.0
11,14,73609.0
12,14,63186.0
13,14,63379.0
14,14,56428.0
15,14,55906.0
16,14,57190.0
17,14,58447.0
18,14,173060.0
19,14,148761.0
20,14,68364.0
21,14,61971.0
22,14,58148.0
23,14,66546.0
0,15,57164.0
1,15,73155.0
2,15,76335.0
3,15,11534.0
4,15,
5,15,
6,15,
7,15,
8,15,
9,15,
10,15,
11,15,
12,15,
13,15,
14,15,
15,15,
16,15,
17,15,
18,15,
19,15,
20,15,
21,15,
22,15,
23,15,
0,16,
1,16,
2,16,
3,16,
4,16,
5,16,
6,16,
7,16,
8,16,
9,16,
10,16,
11,16,
12,16,
13,16,
14,16,
15,16,
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
0,17,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
0,18,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
0,19,
1,19,
2,19,
3,19,
4,19,
5,19,
6,19,
7,19,
8,19,
9,19,
10,19,
11,19,
12,19,
13,19,
14,19,
15,19,
16,19,
17,19,
18,19,
19,19,
20,19,
21,19,
22,19,
23,19,
0,20,
1,20,
2,20,
3,20,
4,20,
5,20,
6,20,
7,20,
8,20,
9,20,
10,20,
11,20,
12,20,
13,20,
14,20,
15,20,
16,20,
17,20,
18,20,
19,20,
20,20,
21,20,
22,20,
23,20,
0,21,
1,21,
2,21,
3,21,
4,21,
5,21,
6,21,
7,21,
8,21,
9,21,
10,21,
11,21,
12,21,
13,21,
14,21,
15,21,
16,21,
17,21,
18,21,
19,21,
20,21,
21,21,
22,21,
23,21,
0,22,
1,22,
2,22,
3,22,
4,22,
5,22,
6,22,
7,22,
8,22,
9,22,
10,22,
11,22,
12,22,
13,22,
14,22,
15,22,
16,22,
17,22,
18,22,
19,22,
20,22,
21,22,
22,22,
23,22,
0,23,
1,23,
2,23,
3,23,
4,23,
5,23,
6,23,
7,23,
8,23,
9,23,
10,23,
11,23,
12,23,
13,23,
14,23,
15,23,
16,23,
17,23,
18,23,
19,23,
20,23,
21,23,
22,23,
23,23,
0,24,
1,24,
2,24,
3,24,
4,24,
5,24,
6,24,
7,24,
8,24,
9,24,
10,24,
11,24,
12,24,
13,24,
14,24,
15,24,
16,24,
17,24,
18,24,
19,24,
20,24,
21,24,
22,24,
23,24,
0,25,
1,25,
2,25,
3,25,
4,25,
5,25,
6,25,
7,25,
8,25,
9,25,
10,25,
11,25,
12,25,
13,25,
14,25,
15,25,
16,25,
17,25,
18,25,
19,25,
20,25,
21,25,
22,25,
23,25,
0,26,
1,26,
2,26,
3,26,
4,26,
5,26,
6,26,
7,26,
8,26,
9,26,
10,26,
11,26,
12,26,
13,26,
14,26,
15,26,
16,26,
17,26,
18,26,
19,26,
20,26,
21,26,
22,26,
23,26,
0,27,
1,27,
2,27,
3,27,
4,27,
5,27,
6,27,
7,27,
8,27,
9,27,
10,27,
11,27,
12,27,
13,27,
14,27,
15,27,
16,27,
17,27,
18,27,
19,27,
20,27,
21,27,
22,27,
23,27,
0,28,
1,28,
2,28,
3,28,
4,28,
5,28,
6,28,
7,28,
8,28,
9,28,
10,28,
11,28,
12,28,
13,28,
14,28,
15,28,
16,28,
17,28,
18,28,
19,28,
20,28,
21,28,
22,28,
23,28,
0,29,
1,29,
2,29,
3,29,
4,29,
5,29,
6,29,
7,29,
8,29,
9,29,
10,29,
11,29,
12,29,
13,29,
14,29,
15,29,
16,29,
17,29,
18,29,
19,29,
20,29,
21,29,
22,29,
23,29,
0,30,
1,30,
2,30,
3,30,
4,30,
5,30,
6,30,
7,30,
8,30,
9,30,
10,30,
11,30,
12,30,
13,30,
14,30,
15,30,
16,30,
17,30,
18,30,
19,30,
20,30,
21,30,
22,30,
23,30,
0,31,
1,31,
2,31,
3,31,
4,31,
5,31,
6,31,
7,31,
8,31,
9,31,
10,31,
11,31,
12,31,
13,31,
14,31,
15,31,
16,31,
17,31,
18,31,
19,31,
20,31,
21,31,
22,31,
23,31,
0,32,
1,32,
2,32,
3,32,
4,32,
5,32,
6,32,
7,32,
8,32,
9,32,
10,32,
11,32,
12,32,
13,32,
14,32,
15,32,
16,32,
17,32,
18,32,
19,32,
20,32,
21,32,
22,32,
23,32,
0,33,
1,33,
2,33,
3,33,
4,33,
5,33,
6,33,
7,33,
8,33,
9,33,
10,33,
11,33,
12,33,
13,33,
14,33,
15,33,
16,33,
17,33,
18,33,
19,33,
20,33,
21,33,
22,33,
23,33,
0,34,
1,34,
2,34,
3,34,
4,34,
5,34,
6,34,
7,34,
8,34,
9,34,
10,34,
11,34,
12,34,
13,34,
14,34,
15,34,
16,34,
17,34,
18,34,
19,34,
20,34,
21,34,
22,34,
23,34,
0,35,
1,35,
2,35,
3,35,
4,35,
5,35,
6,35,
7,35,
8,35,
9,35,
10,35,
11,35,
12,35,
13,35,
14,35,
15,35,
16,35,
17,35,
18,35,
19,35,6516.0
20,35,69095.0
21,35,133273.0
22,35,114806.0
23,35,72787.0
