time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
2011-05-21,335837.0,397.0,11484.0,479627.0,10759.0
2011-05-22,505498.0,646.0,21849.0,217215.0,16894.0
2011-05-23,,,,,
2011-05-24,1266338.0,4209.0,44488.0,438415.0,137223.0
2011-05-25,1906934.0,7098.0,58664.0,324032.0,52852.0
2011-05-26,2148037.0,5283.0,66937.0,901112.0,138768.0
2011-05-27,1837960.0,6200.0,67720.0,175175.0,55525.0
2011-05-28,1989970.0,5887.0,64415.0,189275.0,59955.0
2011-05-29,2038416.0,5918.0,63977.0,322084.0,58430.0
2011-05-30,2090987.0,6324.0,61802.0,775539.0,58685.0
2011-05-31,1791394.0,5131.0,64092.0,430121.0,162588.0
2011-06-01,2364992.0,4135.0,95591.0,553139.0,57184.0
2011-06-02,122927.0,226.0,4188.0,9943.0,2789.0
2011-06-03,,,,,
2011-06-04,,,,,
2011-06-05,,,,,
2011-06-06,,,,,
2011-06-07,,,,,
2011-06-08,1780193.0,4794.0,49393.0,288623.0,134146.0
2011-06-09,1288657.0,5277.0,43985.0,546385.0,55258.0
2011-06-10,1378154.0,4838.0,43318.0,203203.0,171390.0
2011-06-11,2318007.0,8776.0,76848.0,694013.0,76055.0
2011-06-12,1777639.0,8192.0,81233.0,891087.0,205040.0
2011-06-13,1946989.0,4288.0,78054.0,406457.0,165592.0
2011-06-14,108277.0,63.0,4564.0,21679.0,1507.0
