time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,,,,,
1,,,,,
2,127592.0,37.0,2365.0,42887.0,1567.0
3,56723.0,193.0,3170.0,98103.0,2117.0
4,80912.0,156.0,3038.0,51508.0,2285.0
5,81411.0,190.0,2574.0,47356.0,2789.0
6,78577.0,218.0,2669.0,28918.0,2801.0
7,77406.0,268.0,2811.0,20202.0,2850.0
8,64316.0,314.0,2759.0,20075.0,2781.0
9,57971.0,307.0,2616.0,20134.0,2627.0
10,54902.0,356.0,2652.0,20508.0,2727.0
11,69786.0,478.0,2776.0,23151.0,97315.0
12,99411.0,246.0,2601.0,23371.0,2746.0
13,86320.0,240.0,2732.0,7610.0,2702.0
14,79727.0,231.0,2677.0,7578.0,2646.0
15,55116.0,363.0,2712.0,7554.0,2646.0
16,58730.0,302.0,2615.0,7694.0,2640.0
17,57252.0,305.0,2446.0,7685.0,2523.0
18,80186.0,5.0,1275.0,4081.0,1461.0
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
