time_stamp,day,power_dishwaser
19,1,20.0
20,1,27.0
21,1,45.0
22,1,53.0
23,1,252.0
0,2,73.0
1,2,87.0
2,2,48.0
3,2,47.0
4,2,136.0
5,2,121.0
6,2,101.0
7,2,33.0
8,2,
9,2,
10,2,
11,2,
12,2,
13,2,
14,2,
15,2,
16,2,
17,2,
18,2,
19,2,
20,2,
21,2,
22,2,
23,2,
0,3,
1,3,
2,3,
3,3,
4,3,
5,3,
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,
15,3,
16,3,
17,3,
18,3,
19,3,
20,3,
21,3,
22,3,
23,3,
0,4,
1,4,
2,4,37.0
3,4,193.0
4,4,156.0
5,4,190.0
6,4,218.0
7,4,268.0
8,4,314.0
9,4,307.0
10,4,356.0
11,4,478.0
12,4,246.0
13,4,240.0
14,4,231.0
15,4,363.0
16,4,302.0
17,4,305.0
18,4,5.0
19,4,
20,4,
21,4,
22,4,
23,4,
0,5,
1,5,
2,5,2543.0
3,5,6.0
4,5,363.0
5,5,324.0
6,5,220.0
7,5,203.0
8,5,243.0
9,5,354.0
10,5,175.0
11,5,153.0
12,5,134.0
13,5,241.0
14,5,224.0
15,5,225.0
16,5,161.0
17,5,188.0
18,5,258.0
19,5,236.0
20,5,173.0
21,5,184.0
22,5,237.0
23,5,253.0
0,6,195.0
1,6,52.0
2,6,74.0
3,6,140.0
4,6,150.0
5,6,508.0
6,6,0.0
7,6,313.0
8,6,376.0
9,6,323.0
10,6,242.0
11,6,432.0
12,6,174.0
13,6,187.0
14,6,311.0
15,6,241.0
16,6,157.0
17,6,207.0
18,6,168.0
19,6,225.0
20,6,215.0
21,6,256.0
22,6,202.0
23,6,135.0
0,7,130.0
1,7,222.0
2,7,182.0
3,7,52.0
4,7,83.0
5,7,98.0
6,7,160.0
7,7,469.0
8,7,881.0
9,7,648.0
10,7,224.0
11,7,357.0
12,7,303.0
13,7,276.0
14,7,181.0
15,7,149.0
16,7,181.0
17,7,185.0
18,7,262.0
19,7,344.0
20,7,172.0
21,7,164.0
22,7,197.0
23,7,280.0
0,8,216.0
1,8,89.0
2,8,129.0
3,8,257.0
4,8,289.0
5,8,169.0
6,8,223.0
7,8,383.0
8,8,379.0
9,8,198.0
10,8,197.0
11,8,331.0
12,8,353.0
13,8,273.0
14,8,192.0
15,8,189.0
16,8,291.0
17,8,331.0
18,8,212.0
19,8,147.0
20,8,308.0
21,8,319.0
22,8,248.0
23,8,164.0
0,9,359.0
1,9,295.0
2,9,166.0
3,9,125.0
4,9,384.0
5,9,310.0
6,9,283.0
7,9,178.0
8,9,312.0
9,9,363.0
10,9,295.0
11,9,189.0
12,9,314.0
13,9,302.0
14,9,245.0
15,9,150.0
16,9,187.0
17,9,304.0
18,9,263.0
19,9,124.0
20,9,209.0
21,9,197.0
22,9,120.0
23,9,244.0
0,10,254.0
1,10,478.0
2,10,297.0
3,10,741.0
4,10,248.0
5,10,78.0
6,10,267.0
7,10,381.0
8,10,359.0
9,10,327.0
10,10,252.0
11,10,252.0
12,10,307.0
13,10,153.0
14,10,291.0
15,10,256.0
16,10,212.0
17,10,115.0
18,10,101.0
19,10,195.0
20,10,190.0
21,10,141.0
22,10,156.0
23,10,273.0
0,11,232.0
1,11,185.0
2,11,197.0
3,11,539.0
4,11,317.0
5,11,341.0
6,11,260.0
7,11,283.0
8,11,245.0
9,11,227.0
10,11,240.0
11,11,300.0
12,11,156.0
