time_stamp,day,power_stove
19,1,814.0
20,1,2516.0
21,1,2484.0
22,1,2566.0
23,1,2379.0
0,2,2100.0
1,2,2111.0
2,2,2150.0
3,2,2139.0
4,2,2488.0
5,2,2534.0
6,2,2616.0
7,2,756.0
8,2,
9,2,
10,2,
11,2,
12,2,
13,2,
14,2,
15,2,
16,2,
17,2,
18,2,
19,2,
20,2,
21,2,
22,2,
23,2,
0,3,
1,3,
2,3,
3,3,
4,3,
5,3,
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,
15,3,
16,3,
17,3,
18,3,
19,3,
20,3,
21,3,
22,3,
23,3,
0,4,
1,4,
2,4,1567.0
3,4,2117.0
4,4,2285.0
5,4,2789.0
6,4,2801.0
7,4,2850.0
8,4,2781.0
9,4,2627.0
10,4,2727.0
11,4,97315.0
12,4,2746.0
13,4,2702.0
14,4,2646.0
15,4,2646.0
16,4,2640.0
17,4,2523.0
18,4,1461.0
19,4,
20,4,
21,4,
22,4,
23,4,
0,5,
1,5,
2,5,1288.0
3,5,2694.0
4,5,2666.0
5,5,2575.0
6,5,2651.0
7,5,2600.0
8,5,2658.0
9,5,2582.0
10,5,2282.0
11,5,2125.0
12,5,2448.0
13,5,2359.0
14,5,2277.0
15,5,2514.0
16,5,2446.0
17,5,2323.0
18,5,2326.0
19,5,2291.0
20,5,2461.0
21,5,2629.0
22,5,2409.0
23,5,2248.0
0,6,2076.0
1,6,2108.0
2,6,2540.0
3,6,2100.0
4,6,2251.0
5,6,2586.0
6,6,2963.0
7,6,2747.0
8,6,2818.0
9,6,2718.0
10,6,2652.0
11,6,82218.0
12,6,2653.0
13,6,2592.0
14,6,2582.0
15,6,2398.0
16,6,2323.0
17,6,2436.0
18,6,2382.0
19,6,2216.0
20,6,2213.0
21,6,2404.0
22,6,2458.0
23,6,2334.0
0,7,2343.0
1,7,2327.0
2,7,2249.0
3,7,2134.0
4,7,2126.0
5,7,2113.0
6,7,2105.0
7,7,2129.0
8,7,2477.0
9,7,2325.0
10,7,2506.0
11,7,2396.0
12,7,2363.0
13,7,2382.0
14,7,2366.0
15,7,2341.0
16,7,2426.0
17,7,2320.0
18,7,2367.0
19,7,2296.0
20,7,2338.0
21,7,2441.0
22,7,2305.0
23,7,2350.0
0,8,2229.0
1,8,2274.0
2,8,2340.0
3,8,2309.0
4,8,2392.0
5,8,2512.0
6,8,2690.0
7,8,2605.0
8,8,2585.0
9,8,2644.0
10,8,2611.0
11,8,2580.0
12,8,2473.0
13,8,2539.0
14,8,2468.0
15,8,2461.0
16,8,2364.0
17,8,2469.0
18,8,2503.0
19,8,2568.0
20,8,2599.0
21,8,2446.0
22,8,2551.0
23,8,2743.0
0,9,2536.0
1,9,2345.0
2,9,2259.0
3,9,2450.0
4,9,2560.0
5,9,2440.0
6,9,2654.0
7,9,2566.0
8,9,2505.0
9,9,2457.0
10,9,2601.0
11,9,2596.0
12,9,2663.0
13,9,2309.0
14,9,2370.0
15,9,2585.0
16,9,2360.0
17,9,2393.0
18,9,2408.0
19,9,2480.0
20,9,2311.0
21,9,2340.0
22,9,2117.0
23,9,2125.0
0,10,2082.0
1,10,2096.0
2,10,2116.0
3,10,2171.0
4,10,3035.0
5,10,2135.0
6,10,2641.0
7,10,2569.0
8,10,2587.0
9,10,2651.0
10,10,2684.0
11,10,2693.0
12,10,2576.0
13,10,2618.0
14,10,2431.0
15,10,2372.0
16,10,2457.0
17,10,2340.0
18,10,2317.0
19,10,2227.0
20,10,2220.0
21,10,2240.0
22,10,2437.0
23,10,2990.0
0,11,2109.0
1,11,2078.0
2,11,2078.0
3,11,2099.0
4,11,2076.0
5,11,2094.0
6,11,2075.0
7,11,2129.0
8,11,2102.0
9,11,2342.0
10,11,2432.0
11,11,111188.0
12,11,2649.0
13,11,2499.0
14,11,2514.0
15,11,2351.0
16,11,2264.0
17,11,2167.0
18,11,2112.0
19,11,2102.0
20,11,2082.0
21,11,2158.0
22,11,2526.0
23,11,2362.0
0,12,2159.0
1,12,2100.0
2,12,2080.0
3,12,2112.0
4,12,2309.0
5,12,2600.0
6,12,2619.0
7,12,2607.0
8,12,2641.0
9,12,2600.0
10,12,2600.0
11,12,2656.0
12,12,2489.0
13,12,2484.0
14,12,2508.0
15,12,2416.0
16,12,2329.0
17,12,2168.0
18,12,2295.0
19,12,2299.0
20,12,2318.0
21,12,2426.0
22,12,2393.0
23,12,1976.0
0,13,2071.0
