day,hour,value
1,14,98552
1,15,96306
1,16,78320
1,17,45597
1,18,2409
1,19,2807
1,20,4567
1,21,106578
1,22,104602
1,23,109004
1,24,123866
2,1,124689
2,2,124930
2,3,135491
2,4,107900
2,5,79413
2,6,79179
2,7,79126
2,8,79001
2,9,78938
2,10,79214
2,11,85943
2,12,231607
2,13,118103
2,14,115435
2,15,115572
2,16,72395
2,17,62873
2,18,100199
2,19,116545
2,20,116566
2,21,115730
2,22,115197
2,23,140499
2,24,
3,1,128468
3,2,96154
3,3,77815
3,4,77995
3,5,78860
3,6,77579
3,7,78252
3,8,79267
3,9,79099
3,10,78845
3,11,154264
3,12,188567
3,13,117458
3,14,2411
3,15,2484
3,16,2448
3,17,2476
3,18,2490
3,19,2489
3,20,2460
3,21,2418
3,22,116704
3,23,134805
3,24,190227
4,1,138989
4,2,77565
4,3,77583
4,4,78209
4,5,78326
4,6,78260
4,7,78742
4,8,78582
4,9,78585
4,10,78512
4,11,131989
4,12,178851
4,13,44106
4,14,2566
4,15,2469
4,16,2600
4,17,2546
4,18,2749
4,19,2391
4,20,2358
4,21,2473
4,22,1769
4,23,
4,24,36913
5,1,175309
5,2,93998
5,3,77968
5,4,78045
5,5,78392
5,6,78220
5,7,78599
5,8,78602
5,9,78277
5,10,78036
5,11,61724
5,12,71543
5,13,130405
5,14,138694
5,15,14408
5,16,2536
5,17,2573
5,18,2479
5,19,2542
5,20,2152
5,21,2216
5,22,2415
5,23,2517
5,24,2523
6,1,91056
6,2,128536
6,3,76646
6,4,79184
6,5,79508
6,6,79912
6,7,79976
6,8,80043
6,9,80006
6,10,79775
6,11,38230
6,12,2503
6,13,160523
6,14,142517
6,15,117089
6,16,115753
6,17,113467
6,18,113256
6,19,115580
6,20,30438
6,21,30105
6,22,47048
6,23,2603
6,24,2588
7,1,2482
7,2,2606
7,3,2450
7,4,70253
7,5,79265
7,6,81768
7,7,79670
7,8,74087
7,9,79938
7,10,79577
7,11,79419
7,12,78681
7,13,127219
7,14,95069
7,15,1839
7,16,100437
7,17,156144
7,18,96356
7,19,67319
7,20,69720
7,21,26019
7,22,88776
7,23,144533
7,24,145136
8,1,165122
8,2,85934
8,3,77697
8,4,78698
8,5,78706
8,6,79058
8,7,78737
8,8,79073
8,9,79147
8,10,78968
8,11,159254
8,12,275669
8,13,71221
8,14,2541
8,15,2648
8,16,2200
8,17,2343
8,18,2650
8,19,2622
8,20,2650
8,21,23143
8,22,148818
8,23,145919
8,24,127732
9,1,126028
9,2,82306
9,3,100191
9,4,85191
9,5,78158
9,6,78330
9,7,78389
9,8,78424
9,9,78429
9,10,78375
9,11,112851
9,12,250483
9,13,87664
9,14,79861
9,15,70962
9,16,2177
9,17,2475
9,18,2689
9,19,2645
9,20,2513
9,21,2693
9,22,2670
9,23,2996
9,24,127575
10,1,127367
10,2,120513
10,3,77136
10,4,78602
10,5,79021
10,6,79533
10,7,77757
10,8,74010
10,9,78965
10,10,79292
10,11,130904
10,12,185369
10,13,131659
10,14,2502
10,15,2692
10,16,2617
10,17,2579
10,18,2682
10,19,2522
10,20,2700
10,21,2598
10,22,2689
10,23,51860
10,24,57644
11,1,54919
11,2,101675
11,3,78105
11,4,78389
11,5,78305
11,6,79031
11,7,79373
11,8,78918
11,9,78706
11,10,78470
11,11,108471
11,12,166464
11,13,6342
11,14,3069
11,15,2656
11,16,2711
11,17,2603
11,18,2674
11,19,2741
11,20,2583
11,21,2691
11,22,2701
11,23,36621
11,24,134567
12,1,163014
12,2,188441
12,3,177964
12,4,137995
12,5,78532
12,6,78645
12,7,78888
12,8,79112
12,9,78893
12,10,82239
12,11,160745
12,12,157108
12,13,122499
12,14,8489
12,15,2444
12,16,2607
12,17,2532
12,18,2561
12,19,2618
12,20,2604
12,21,2646
12,22,5690
12,23,44093
12,24,102680
13,1,131895
13,2,203681
13,3,203900
13,4,102459
13,5,74987
13,6,78753
13,7,79184
13,8,79324
13,9,79066
13,10,79371
13,11,78957
13,12,101660
13,13,205184
13,14,46544
13,15,20852
13,16,65570
13,17,66387
13,18,115691
13,19,76402
13,20,53574
13,21,26727
13,22,2369
13,23,19702
13,24,107128
14,1,117906
14,2,118075
14,3,114960
14,4,88694
14,5,77752
14,6,79293
14,7,79678
14,8,79806
14,9,79857
14,10,75903
14,11,229462
14,12,69887
14,13,61959
14,14,51920
14,15,36659
14,16,1455
14,17,1054
14,18,1266
14,19,926
14,20,986
14,21,23637
14,22,75447
14,23,136538
14,24,144986
15,1,143723
15,2,144276
15,3,122831
15,4,77058
15,5,77443
15,6,78007
15,7,77929
15,8,77860
15,9,77717
15,10,77469
15,11,77045
15,12,93018
15,13,1016
15,14,1046
15,15,980
15,16,899
15,17,1044
15,18,1010
15,19,912
15,20,1037
15,21,1017
15,22,1009
15,23,906
15,24,1031
16,1,146653
16,2,147310
16,3,76219
16,4,76913
16,5,76656
16,6,77238
16,7,77249
16,8,77202
16,9,78164
16,10,144605
16,11,194183
16,12,102494
16,13,74951
16,14,75969
16,15,76057
16,16,76062
16,17,75782
16,18,75797
16,19,76372
16,20,76279
16,21,76428
16,22,38809
16,23,
16,24,
17,1,
17,2,
17,3,
17,4,
17,5,
17,6,
17,7,
17,8,
17,9,
17,10,
17,11,
17,12,
17,13,
17,14,
17,15,
17,16,
17,17,
17,18,
17,19,
17,20,
17,21,
17,22,
17,23,
17,24,
18,1,
18,2,
18,3,
18,4,
18,5,
18,6,
18,7,
18,8,
18,9,
18,10,
18,11,
18,12,
18,13,
18,14,
18,15,
18,16,
18,17,
18,18,
18,19,
18,20,
18,21,
18,22,
18,23,
18,24,
19,1,
19,2,
19,3,
19,4,
19,5,
19,6,
19,7,
19,8,
19,9,
19,10,
19,11,
19,12,
19,13,
19,14,
19,15,9683
19,16,76188
19,17,76932
19,18,76978
19,19,77161
19,20,77141
19,21,76907
19,22,77173
19,23,76856
19,24,76811
20,1,148727
20,2,200902
20,3,183814
20,4,76825
20,5,77430
20,6,76654
20,7,74061
20,8,78227
20,9,78177
20,10,78301
20,11,77620
20,12,76636
20,13,43495
20,14,3100
20,15,993
20,16,1091
20,17,906
20,18,4602
20,19,1012
20,20,990
20,21,53985
20,22,103275
20,23,69359
20,24,69396
21,1,68895
21,2,92821
21,3,86176
21,4,77903
21,5,78838
21,6,79009
21,7,79371
21,8,79086
21,9,78910
21,10,79416
21,11,71667
21,12,156872
21,13,308904
21,14,115628
21,15,89814
21,16,70783
21,17,70641
21,18,23628
21,19,2589
21,20,2592
21,21,2720
21,22,2651
21,23,2788
21,24,179242
22,1,160624
22,2,95806
22,3,99766
22,4,101480
22,5,72920
22,6,41258
22,7,41116
22,8,40946
22,9,41219
22,10,71993
22,11,153766
22,12,129395
22,13,202446
22,14,3916
22,15,2649
22,16,2524
22,17,2670
22,18,2649
22,19,2664
22,20,2649
22,21,2612
22,22,2606
22,23,84511
22,24,129913
23,1,120458
23,2,114698
23,3,94981
23,4,79497
23,5,72119
23,6,41168
23,7,40896
23,8,41262
23,9,41191
23,10,54482
23,11,112488
23,12,231662
23,13,2514
23,14,89110
23,15,92636
23,16,2488
23,17,2682
23,18,2492
23,19,2594
23,20,2665
23,21,2497
23,22,2669
23,23,2664
23,24,2494
24,1,55484
24,2,40067
24,3,40792
24,4,40822
24,5,40908
24,6,41159
24,7,41193
24,8,38372
24,9,41250
24,10,40974
24,11,113386
24,12,167685
24,13,32443
24,14,10458
24,15,10635
24,16,10274
24,17,10242
24,18,10237
24,19,10291
24,20,10242
24,21,10290
24,22,10256
24,23,10257
24,24,26198
25,1,175004
25,2,110904
25,3,41150
25,4,40849
25,5,41127
25,6,41182
25,7,41022
25,8,41200
25,9,41140
25,10,41159
25,11,78273
25,12,143463
25,13,2534
25,14,2606
25,15,2584
25,16,2545
25,17,2553
25,18,2495
25,19,2612
25,20,2595
25,21,2598
25,22,2087
25,23,
25,24,
26,1,1919
26,2,33333
26,3,129259
26,4,40975
26,5,40976
26,6,41124
26,7,41197
26,8,41180
26,9,41512
26,10,41467
26,11,52373
26,12,95646
26,13,2655
26,14,2626
26,15,2553
26,16,2587
26,17,2651
26,18,2595
26,19,2571
26,20,2683
26,21,2617
26,22,2613
26,23,71769
26,24,170242
27,1,138171
27,2,134139
27,3,75424
27,4,39773
27,5,44223
27,6,41381
27,7,41129
27,8,41377
27,9,41403
27,10,41344
27,11,41386
27,12,77559
27,13,240410
27,14,102989
27,15,88345
27,16,2618
27,17,62006
27,18,56425
27,19,2663
27,20,6196
27,21,107748
27,22,105526
27,23,117081
27,24,137037
28,1,123847
28,2,104603
28,3,110099
28,4,109171
28,5,44711
28,6,41624
28,7,41480
28,8,41105
28,9,41409
28,10,41271
28,11,43911
28,12,118386
28,13,187444
28,14,204612
28,15,116157
28,16,116401
28,17,116365
28,18,116146
28,19,70591
28,20,63573
28,21,68096
28,22,63510
28,23,87449
28,24,116053
29,1,197984
29,2,63513
29,3,62160
29,4,90567
29,5,41168
29,6,41349
29,7,41190
29,8,40892
29,9,41365
29,10,41312
29,11,45205
29,12,327617
