day,hour,value
1,14,4.5
1,15,36
1,16,2.5
1,17,0
1,18,0
1,19,32.5
1,20,0
1,21,0
1,22,4
1,23,2
1,24,4
2,1,658
2,2,367
2,3,3
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,2
2,11,3
2,12,480
2,13,0
2,14,5.5
2,15,0
2,16,0
2,17,0
2,18,1
2,19,0
2,20,0
2,21,0
2,22,2.5
2,23,0
2,24,
3,1,6
3,2,20
3,3,0
3,4,0
3,5,0
3,6,0
3,7,110
3,8,2.5
3,9,4
3,10,0
3,11,7.5
3,12,0
3,13,2.5
3,14,2
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,1
3,23,0
3,24,3
4,1,3
4,2,0
4,3,2
4,4,5
4,5,4
4,6,0
4,7,0
4,8,0
4,9,6
4,10,1
4,11,2
4,12,5.5
4,13,0
4,14,4
4,15,0
4,16,5.5
4,17,0
4,18,2.5
4,19,0
4,20,0
4,21,0
4,22,0
4,23,
4,24,0
5,1,8
5,2,0
5,3,150
5,4,0
5,5,0
5,6,0
5,7,2.5
5,8,3
5,9,0
5,10,0
5,11,0
5,12,0
5,13,2.5
5,14,0
5,15,0
5,16,0
5,17,2
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,3
5,24,0
6,1,2.5
6,2,0
6,3,1
6,4,0
6,5,0
6,6,1
6,7,2.5
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,436
6,14,101
6,15,0
6,16,0
6,17,724
6,18,541
6,19,8380
6,20,146857
6,21,607908
6,22,1246186
6,23,0
6,24,0
7,1,0
7,2,0
7,3,0
7,4,613045
7,5,0
7,6,0
7,7,5
7,8,0
7,9,0
7,10,0
7,11,0
7,12,1
7,13,392411.5
7,14,1426957
7,15,0
7,16,0
7,17,102.5
7,18,102.5
7,19,2.5
7,20,0
7,21,454
7,22,271
7,23,15
7,24,0
8,1,6
8,2,0
8,3,2
8,4,1
8,5,2
8,6,2
8,7,0
8,8,1
8,9,158
8,10,68
8,11,9
8,12,495.5
8,13,100
8,14,0
8,15,0
8,16,1
8,17,0
8,18,0
8,19,0
8,20,0
8,21,3
8,22,0
8,23,0
8,24,0
9,1,276
9,2,791
9,3,65
9,4,0
9,5,0
9,6,1
9,7,0
9,8,0
9,9,0
9,10,0
9,11,10
9,12,571
9,13,0
9,14,272
9,15,170.5
9,16,225
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
10,1,0
10,2,0
10,3,4
10,4,0
10,5,0
10,6,2.5
10,7,0
10,8,0
10,9,0
10,10,2.5
10,11,7
10,12,1
10,13,5
10,14,0
10,15,0
10,16,0
10,17,0
10,18,1
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
10,24,0
11,1,0
11,2,3
11,3,3
11,4,4
11,5,0
11,6,2
11,7,5
11,8,0
11,9,9
11,10,2
11,11,5
11,12,3
11,13,1
11,14,0
11,15,0
11,16,2
11,17,1
11,18,0
11,19,33
11,20,0
11,21,0
11,22,4
11,23,2
11,24,0
12,1,1
12,2,9
12,3,8
12,4,38
12,5,40
12,6,29
12,7,27
12,8,36.5
12,9,40
12,10,37
12,11,25.5
