day	hour	value
1	1	113
1	2	425
1	3	8
1	4	10
1	5	8
1	6	5
1	7	24
1	8	22
1	9	16
1	10	273
1	11	213
1	12	552467
1	13	470791
1	14	83603
1	15	49
1	16	14
1	17	8
1	18	6
1	19	8
1	20	4
1	21	13
1	22	22
1	23	20
1	24	32
2	1	81
2	2	29
2	3	10
2	4	21
2	5	25
2	6	53
2	7	41
2	8	32
2	9	78
2	10	23
2	11	
2	12	61
2	13	34
2	14	17
2	15	31
2	16	23
2	17	25
2	18	515
2	19	107
2	20	33
2	21	17
2	22	40
2	23	34
2	24	31
3	1	26
3	2	13
3	3	29
3	4	29
3	5	32
3	6	27
3	7	23
3	8	25
3	9	29
3	10	26
3	11	10
3	12	42
3	13	60
3	14	36
3	15	47
3	16	45
3	17	28
3	18	4
3	19	40
3	20	57
3	21	38
3	22	25
3	23	69
3	24	60
4	1	55
4	2	6
4	3	64
4	4	47
4	5	95
4	6	45
4	7	52
4	8	43
4	9	0
4	10	
4	11	0
4	12	64
4	13	40
4	14	447
4	15	139
4	16	38
4	17	24
4	18	33
4	19	26
4	20	22
4	21	9
4	22	31
4	23	8
4	24	46
5	1	23
5	2	41
5	3	38
5	4	46
5	5	16
5	6	31
5	7	33
5	8	46
5	9	34
5	10	62
5	11	34
5	12	49
5	13	13
5	14	41
5	15	55
5	16	37
5	17	38
5	18	13
5	19	17
5	20	37
5	21	24
5	22	34
5	23	26
5	24	25
6	1	4
6	2	40
6	3	54
6	4	521974
6	5	458076
6	6	82970
6	7	283
6	8	60
6	9	374
6	10	7
6	11	18
6	12	3
6	13	33
6	14	4
6	15	60
6	16	74
6	17	11
6	18	44
6	19	0
6	20	32
6	21	0
6	22	30
6	23	26
6	24	22
7	1	82
7	2	0
7	3	50
7	4	252
7	5	248
7	6	394
7	7	49
7	8	560571
7	9	418015
7	10	42
7	11	1
7	12	155
7	13	0
7	14	79
7	15	34
7	16	18
7	17	48
7	18	0
7	19	32
7	20	424
7	21	261
7	22	2
7	23	118
7	24	73
8	1	0
8	2	99
8	3	113
8	4	13
8	5	105
8	6	61
8	7	102
8	8	44
8	9	29
8	10	62
8	11	98
8	12	208037
8	13	690646
8	14	185132
8	15	27
8	16	18
8	17	7
8	18	19
8	19	14
8	20	7
8	21	12
8	22	30
8	23	38
8	24	26
9	1	2
9	2	196831
9	3	432324
9	4	4700
9	5	37
9	6	27
9	7	1
9	8	26
9	9	153
9	10	425
9	11	4
9	12	15
9	13	1
9	14	27
9	15	13
9	16	7
9	17	34
9	18	0
9	19	9
9	20	0
9	21	15
9	22	10
9	23	2
9	24	19
10	1	0
10	2	23
10	3	17
10	4	5
10	5	22
10	6	0
10	7	35
10	8	22
10	9	10
10	10	36
10	11	1
10	12	27
10	13	172
10	14	9
10	15	23
10	16	0
10	17	26
10	18	36
10	19	3
10	20	27
10	21	14
10	22	30
10	23	7
10	24	32
11	1	526
11	2	3
11	3	32
11	4	12
11	5	12
11	6	38
11	7	5
11	8	20
11	9	39
11	10	30
11	11	12
11	12	68
11	13	32
11	14	1
11	15	83
11	16	32
11	17	21
11	18	9
11	19	19
