day	hour	value
1	14	113
1	15	425
1	16	8
1	17	10
1	18	8
1	19	5
1	20	24
1	21	22
1	22	16
1	23	273
1	24	213
2	1	552467
2	2	470791
2	3	83603
2	4	49
2	5	14
2	6	8
2	7	6
2	8	8
2	9	4
2	10	13
2	11	22
2	12	20
2	13	32
2	14	81
2	15	29
2	16	10
2	17	21
2	18	25
2	19	53
2	20	41
2	21	32
2	22	78
2	23	23
2	24	
3	1	61
3	2	34
3	3	17
3	4	31
3	5	23
3	6	25
3	7	515
3	8	107
3	9	33
3	10	17
3	11	40
3	12	34
3	13	31
3	14	26
3	15	13
3	16	29
3	17	29
3	18	32
3	19	27
3	20	23
3	21	25
3	22	29
3	23	26
3	24	10
4	1	42
4	2	60
4	3	36
4	4	47
4	5	45
4	6	28
4	7	4
4	8	40
4	9	57
4	10	38
4	11	25
4	12	69
4	13	60
4	14	55
4	15	6
4	16	64
4	17	47
4	18	95
4	19	45
4	20	52
4	21	43
4	22	0
4	23	
4	24	0
5	1	64
5	2	40
5	3	447
5	4	139
5	5	38
5	6	24
5	7	33
5	8	26
5	9	22
5	10	9
5	11	31
5	12	8
5	13	46
5	14	23
5	15	41
5	16	38
5	17	46
5	18	16
5	19	31
5	20	33
5	21	46
5	22	34
5	23	62
5	24	34
6	1	49
6	2	13
6	3	41
6	4	55
6	5	37
6	6	38
6	7	13
6	8	17
6	9	37
6	10	24
6	11	34
6	12	26
6	13	25
6	14	4
6	15	40
6	16	54
6	17	521974
6	18	458076
6	19	82970
6	20	283
6	21	60
6	22	374
6	23	7
6	24	18
7	1	3
7	2	33
7	3	4
7	4	60
7	5	74
7	6	11
7	7	44
7	8	0
7	9	32
7	10	0
7	11	30
7	12	26
7	13	22
7	14	82
7	15	0
7	16	50
7	17	252
7	18	248
7	19	394
7	20	49
7	21	560571
7	22	418015
7	23	42
7	24	1
8	1	155
8	2	0
8	3	79
8	4	34
8	5	18
8	6	48
8	7	0
8	8	32
8	9	424
8	10	261
8	11	2
8	12	118
8	13	73
8	14	0
8	15	99
8	16	113
8	17	13
8	18	105
8	19	61
8	20	102
8	21	44
8	22	29
8	23	62
8	24	98
9	1	208037
9	2	690646
9	3	185132
9	4	27
9	5	18
9	6	7
9	7	19
9	8	14
9	9	7
9	10	12
9	11	30
9	12	38
9	13	26
9	14	2
9	15	196831
9	16	432324
9	17	4700
9	18	37
