day	hour	value
1	14	3563
1	15	134014
1	16	116762
1	17	54328
1	18	46438
1	19	46377
1	20	60233
1	21	55216
1	22	64486
1	23	56097
1	24	5820
2	1	66865
2	2	56326
2	3	23852
2	4	60451
2	5	57728
2	6	49928
2	7	39973
2	8	45883
2	9	19211
2	10	50929
2	11	47805
2	12	56636
2	13	53576
2	14	54557
2	15	47288
2	16	15708
2	17	45792
2	18	46914
2	19	54161
2	20	47157
2	21	48842
2	22	50888
2	23	47134
2	24	
3	1	48688
3	2	28347
3	3	34272
3	4	43743
3	5	48413
3	6	46677
3	7	133826
3	8	108968
3	9	57719
3	10	44786
3	11	47128
3	12	48870
3	13	46888
3	14	17788
3	15	39266
3	16	45259
3	17	47236
3	18	46251
3	19	47114
3	20	45538
3	21	36798
3	22	57345
3	23	22740
3	24	33229
4	1	50527
4	2	50552
4	3	49126
4	4	50728
4	5	50040
4	6	31535
4	7	22539
4	8	48335
4	9	50058
4	10	47008
4	11	45757
4	12	48279
4	13	49970
4	14	41694
4	15	13576
4	16	50938
4	17	48738
4	18	50455
4	19	49113
4	20	47558
4	21	48389
4	22	4223
4	23	
4	24	1882
5	1	48870
5	2	53599
5	3	97996
5	4	115895
5	5	53888
5	6	43976
5	7	45068
5	8	46022
5	9	42467
5	10	10276
5	11	53915
5	12	28655
5	13	52073
5	14	44671
5	15	47376
5	16	49346
5	17	45358
5	18	14292
5	19	44293
5	20	42338
5	21	50200
5	22	47061
5	23	50726
5	24	28119
6	1	49953
6	2	26801
6	3	49402
6	4	54351
6	5	46686
6	6	38964
6	7	30237
6	8	35293
6	9	49244
6	10	45686
6	11	49032
6	12	44394
6	13	33857
6	14	17670
6	15	50569
6	16	47129
6	17	76512
6	18	42867
6	19	64552
6	20	44765
6	21	63487
6	22	187888
6	23	65212
6	24	58728
7	1	27865
7	2	76939
7	3	5709
7	4	74960
7	5	37343
7	6	44248
7	7	72828
7	8	6112
7	9	70624
7	10	6560
7	11	69688
7	12	41286
7	13	44855
7	14	74147
7	15	5501
7	16	82293
7	17	70888
7	18	47132
7	19	92790
7	20	61463
7	21	103258
7	22	6044
7	23	103796
7	24	6237
8	1	101965
8	2	6168
8	3	88027
8	4	39492
8	5	44400
8	6	75536
8	7	6422
8	8	72439
8	9	118195
8	10	157155
8	11	16082
8	12	75170
8	13	67552
8	14	5425
8	15	74236
8	16	63760
8	17	14655
8	18	70666
8	19	57014
8	20	76483
8	21	28414
8	22	41387
8	23	30432
8	24	59721
9	1	66621
9	2	31211
9	3	40930
9	4	64984
9	5	32453
9	6	39606
9	7	62458
9	8	18522
9	9	50033
9	10	59947
9	11	40159
9	12	83113
9	13	75814
9	14	5736
9	15	91565
9	16	62373
9	17	5609
9	18	85366
9	19	63000
9	20	5935
9	21	81407
9	22	51112
9	23	177316
9	24	39669
10	1	78215
10	2	5887
10	3	77675
10	4	37789
10	5	42165
10	6	73866
10	7	6471
10	8	60667
10	9	6561
10	10	69896
10	11	46685
10	12	29936
10	13	69911
10	14	5873
10	15	75323
10	16	46397
10	17	32423
10	18	74933
10	19	5750
10	20	77814
10	21	18940
10	22	65414
10	23	79661
10	24	5862
11	1	78752
11	2	38430
11	3	44974
11	4	75579
11	5	6380
11	6	74703
11	7	60537
11	8	22088
11	9	74582
11	10	15338
11	11	72808
11	12	52547
11	13	59748
11	14	190957
11	15	48022
11	16	76772
11	17	19990
11	18	59070
