day	hour	value
1	14	31959
1	15	42840
1	16	41431
1	17	40392
1	18	39124
1	19	102872
1	20	142038
1	21	53574
1	22	70114
1	23	477208
1	24	320835
2	1	67207
2	2	65031
2	3	46829
2	4	128587
2	5	46952
2	6	43284
2	7	43122
2	8	43922
2	9	43061
2	10	43495
2	11	43184
2	12	146832
2	13	41170
2	14	41111
2	15	40988
2	16	41045
2	17	40627
2	18	40884
2	19	41004
2	20	49258
2	21	67576
2	22	78439
2	23	69722
2	24	
3	1	33864
3	2	42334
3	3	42086
3	4	41907
3	5	41830
3	6	40755
3	7	42535
3	8	42936
3	9	41627
3	10	42003
3	11	176023
3	12	63210
3	13	47169
3	14	39367
3	15	39744
3	16	39763
3	17	39814
3	18	39818
3	19	39779
3	20	39645
3	21	39635
3	22	63747
3	23	98924
3	24	47600
4	1	42369
4	2	42153
4	3	42178
4	4	42069
4	5	41848
4	6	41678
4	7	41590
4	8	41383
4	9	41419
4	10	41703
4	11	42323
4	12	149477
4	13	45290
4	14	40310
4	15	39809
4	16	40429
4	17	40539
4	18	44503
4	19	53925
4	20	56528
4	21	49038
4	22	61257
4	23	
4	24	12858
5	1	41546
5	2	41080
5	3	41145
5	4	40951
5	5	40901
5	6	40875
5	7	40799
5	8	40868
5	9	40902
5	10	41132
5	11	40554
5	12	42630
5	13	82040
5	14	116432
5	15	64977
5	16	39198
5	17	39166
5	18	38587
5	19	39020
5	20	69428
5	21	63686
5	22	50542
5	23	44687
5	24	42022
6	1	41635
6	2	41184
6	3	39990
6	4	40978
6	5	41025
6	6	41033
6	7	41038
6	8	41130
6	9	41012
6	10	41167
6	11	40445
6	12	39121
6	13	133943
6	14	41808
6	15	42315
6	16	64900
6	17	201993
6	18	95791
6	19	162054
6	20	46262
6	21	43983
6	22	50216
6	23	41010
6	24	41002
7	1	40332
7	2	41125
7	3	39896
7	4	50410
7	5	42103
7	6	41952
7	7	42202
7	8	39719
7	9	42579
7	10	42032
7	11	42027
7	12	42049
7	13	131481
7	14	70559
7	15	73927
7	16	61394
7	17	196862
7	18	159025
7	19	888975
7	20	56062
