day	hour	value
1	14	2662
1	15	27448
1	16	75297
1	17	3732
1	18	3620
1	19	25930
1	20	3935
1	21	75016
1	22	3976
1	23	51595
1	24	223458
2	1	19687
2	2	3829
2	3	4048
2	4	4142
2	5	3800
2	6	3800
2	7	3800
2	8	3792
2	9	3796
2	10	3804
2	11	3800
2	12	97972
2	13	4090
2	14	55171
2	15	3986
2	16	7266
2	17	4124
2	18	4063
2	19	4125
2	20	4166
2	21	4148
2	22	89133
2	23	3109
2	24	
3	1	17160
3	2	78582
3	3	3800
3	4	3796
3	5	3800
3	6	3732
3	7	3752
3	8	3804
3	9	3800
3	10	3800
3	11	27588
3	12	73364
3	13	59546
3	14	3580
3	15	3612
3	16	3620
3	17	3628
3	18	3624
3	19	3624
3	20	3612
3	21	3604
3	22	231680
3	23	3989
3	24	71996
4	1	3813
4	2	3799
4	3	3800
4	4	3800
4	5	3800
4	6	3800
4	7	3804
4	8	3796
4	9	3804
4	10	3800
4	11	3698
4	12	70772
4	13	56718
4	14	3612
4	15	3580
4	16	3628
4	17	3624
4	18	19846
4	19	3628
4	20	76167
4	21	22322
4	22	2684
4	23	
4	24	1176
5	1	71519
5	2	3808
5	3	3804
5	4	3800
5	5	3800
5	6	3800
5	7	3800
5	8	3800
5	9	3800
5	10	3800
5	11	3768
5	12	3730
5	13	27792
5	14	4274
5	15	27622
5	16	3624
5	17	3620
5	18	3576
5	19	3616
5	20	3592
5	21	3624
5	22	3624
5	23	3628
5	24	3596
6	1	4085
6	2	4259
6	3	3696
6	4	3804
6	5	3796
6	6	3800
6	7	3800
6	8	3800
6	9	3798
6	10	3800
6	11	3736
6	12	3624
6	13	96687
6	14	3864
6	15	27531
6	16	36334
6	17	61070
6	18	3795
6	19	4217
6	20	3676
6	21	3654
6	22	3768
6	23	3652
6	24	3636
7	1	3600
7	2	3664
7	3	3572
7	4	89872
7	5	3800
7	6	3796
7	7	3800
7	8	3532
7	9	3800
7	10	3796
7	11	3800
7	12	3796
7	13	27258
7	14	83445
7	15	3564
7	16	4128
7	17	598178
7	18	900333
7	19	377885
7	20	4063
7	21	3933
7	22	73868
7	23	3886
7	24	20924
8	1	16439
8	2	3803
8	3	3796
8	4	3806
8	5	3796
8	6	3800
8	7	3796
8	8	3800
8	9	3800
8	10	3800
8	11	3882
8	12	109418
8	13	80796
8	14	3568
8	15	3656
8	16	3640
8	17	13207
8	18	3660
8	19	3632
8	20	3656
8	21	3700
8	22	4540
8	23	4483
8	24	84043
9	1	98452
9	2	3671
9	3	3874
9	4	3820
9	5	3796
9	6	3800
9	7	3800
9	8	3800
9	9	3800
9	10	3796
9	11	3838
9	12	181152
9	13	46618
9	14	3640
9	15	73305
9	16	3780
9	17	3572
9	18	3672
9	19	3644
9	20	3564
9	21	3664
9	22	3608
9	23	3736
9	24	74752
10	1	3825
10	2	74708
10	3	3796
10	4	3800
10	5	3796
10	6	3800
10	7	3724
10	8	3540
10	9	3800
10	10	3800
10	11	3859
10	12	99203
10	13	37231
10	14	3568
10	15	3660
10	16	3616
10	17	3612
10	18	3660
10	19	3568
10	20	3664
10	21	3584
10	22	3648
10	23	3780
10	24	3800
11	1	3804
11	2	74835
11	3	3804
11	4	3800
11	5	3800
11	6	3800
11	7	3804
11	8	3800
11	9	3800
11	10	3804
11	11	50209
11	12	27119
11	13	35034
11	14	3736
11	15	3632
11	16	3664
11	17	3583
11	18	3644
11	19	3656
11	20	3560
11	21	3656
11	22	3652
11	23	3789
11	24	4277
12	1	73103
12	2	3880
12	3	3900
12	4	4151
12	5	3796
12	6	3800
12	7	3800
12	8	3804
12	9	3796
12	10	3800
12	11	104296
12	12	3978
12	13	100212
12	14	3752
12	15	3644
12	16	3636
12	17	3596
12	18	3612
12	19	3640
12	20	3632
12	21	3640
12	22	3584
12	23	3800
12	24	72811
13	1	3932
13	2	3901
13	3	4004
13	4	3589
13	5	3724
13	6	3800
13	7	3800
13	8	3800
13	9	3800
13	10	3796
13	11	3800
13	12	51190
13	13	60083
13	14	39337
13	15	3595
13	16	25688
13	17	142241
13	18	32409
13	19	3667
13	20	3708
13	21	25776
13	22	34642
13	23	3708
13	24	128746
14	1	3822
14	2	3859
14	3	3952
14	4	3675
14	5	3780
14	6	3796
14	7	3800
14	8	3800
14	9	3800
14	10	3800
14	11	92898
14	12	4453
14	13	4228
14	14	50938
14	15	27554
14	16	3728
14	17	27497
14	18	27602
14	19	3632
14	20	3640
14	21	3621
14	22	108717
14	23	8307
14	24	3965
15	1	3881
15	2	3970
15	3	76680
15	4	3800
15	5	3800
15	6	3800
15	7	3800
15	8	3800
15	9	3800
15	10	3800
15	11	3800
15	12	26044
15	13	3628
15	14	3632
15	15	3632
15	16	3564
15	17	3648
15	18	3628
15	19	3572
15	20	3640
15	21	3624
15	22	3472
15	23	3576
15	24	3640
16	1	70246
16	2	3814
16	3	3768
16	4	3780
16	5	3756
16	6	3768
16	7	3768
16	8	3768
16	9	3788
16	10	48896
16	11	4561
16	12	3936
16	13	3792
16	14	3780
16	15	3772
16	16	3772
16	17	3768
16	18	3764
16	19	3772
16	20	3772
16	21	3768
16	22	1916
16	23	
16	24	
17	1	
17	2	
17	3	
17	4	
17	5	
17	6	
17	7	
17	8	
17	9	
17	10	
17	11	
17	12	
17	13	
17	14	
17	15	
17	16	
17	17	
17	18	
17	19	
17	20	
17	21	
17	22	
17	23	
17	24	
18	1	
18	2	
