time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,48688.0,61.0,17160.0,65.0,60.0
1,28347.0,34.0,78582.0,344.0,296.0
2,34272.0,17.0,3800.0,0.0,1.0
3,43743.0,31.0,3796.0,0.0,0.0
4,48413.0,23.0,3800.0,0.0,1.0
5,46677.0,25.0,3732.0,0.0,0.0
6,133826.0,515.0,3752.0,0.0,192.0
7,108968.0,107.0,3804.0,0.0,2.0
8,57719.0,33.0,3800.0,0.0,0.0
9,44786.0,17.0,3800.0,0.0,0.0
10,47128.0,40.0,27588.0,105.0,246.0
11,48870.0,34.0,73364.0,315.0,270.0
12,46888.0,31.0,59546.0,1213.0,1032.0
13,17788.0,26.0,3580.0,0.0,1.0
14,39266.0,13.0,3612.0,0.0,0.0
15,45259.0,29.0,3620.0,0.0,0.0
16,47236.0,29.0,3628.0,0.0,0.0
17,46251.0,32.0,3624.0,0.0,0.0
18,47114.0,27.0,3624.0,0.0,0.0
19,45538.0,23.0,3612.0,0.0,0.0
20,36798.0,25.0,3604.0,0.0,0.0
21,57345.0,29.0,231680.0,1075.0,909.0
22,22740.0,26.0,3989.0,0.0,0.0
23,33229.0,10.0,71996.0,309.0,265.0
