time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
5,36910.0,36.0,2005.0,3771.0,215.0
6,70774.0,67.0,4266.0,7969.0,566.0
7,53228.0,64.0,4220.0,7903.0,669.0
8,54782.0,76.0,4225.0,7921.0,642.0
9,52705.0,85.0,4216.0,7942.0,660.0
10,56767.0,96.0,4208.0,7906.0,631.0
11,70342.0,43.0,4234.0,7948.0,478.0
12,68480.0,30.0,4052.0,7491.0,787.0
13,61832.0,28.0,25661.0,7667.0,667.0
14,59767.0,221191.0,4117.0,7802.0,741.0
15,56299.0,330016.0,4166.0,7965.0,571.0
16,56208.0,48.0,34045.0,8402.0,632.0
17,78887.0,102.0,7017.0,8910.0,367.0
18,78686.0,34.0,15136.0,8006.0,484.0
19,59465.0,18.0,43073.0,11801.0,538.0
20,59640.0,15.0,43022.0,10021.0,606.0
21,58271.0,17.0,24790.0,8176.0,608.0
22,76319.0,10.0,4198.0,8019.0,544.0
23,78371.0,27.0,4531.0,88382.0,197.0
